,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,engine_capacity(cc),Power_bhp,Seats,Price,Brand_name,Model_name
2683,Pune,2012,45496,Petrol,Manual,First,17.0,1497,118.0,5.0,4.75,Honda,City
2684,Pune,2013,76000,Diesel,Automatic,Second,11.18,2696,184.0,7.0,8.79,Mahindra,Ssangyong
2685,Pune,2014,136000,Petrol,Manual,First,13.1,1798,157.75,5.0,9.5,Skoda,Superb
2686,Kolkata,2010,38127,Petrol,Manual,First,19.7,796,46.3,5.0,1.55,Maruti,Alto
2687,Jaipur,2014,82450,Diesel,Manual,First,23.0,1396,90.0,5.0,5.85,Hyundai,i20
2688,Coimbatore,2014,62497,Petrol,Manual,First,15.8,1499,110.0,5.0,7.52,Ford,Ecosport
2689,Hyderabad,2011,86732,Diesel,Manual,First,23.08,1461,63.1,5.0,3.6,Nissan,Micra
2690,Kochi,2016,27969,Petrol,Manual,First,19.4,1198,86.8,5.0,4.73,Honda,Brio
2691,Delhi,2013,66372,Diesel,Automatic,First,11.18,2696,184.0,7.0,10.5,Mahindra,Ssangyong
2692,Coimbatore,2013,73525,Diesel,Automatic,First,16.46,2993,258.0,5.0,34.54,BMW,7
2693,Kochi,2018,20689,Petrol,Manual,First,18.9,1197,81.86,5.0,6.07,Hyundai,Grand
2694,Coimbatore,2018,25093,Petrol,Manual,First,21.4,1197,83.1,5.0,7.76,Maruti,Baleno
2695,Coimbatore,2016,49176,Diesel,Manual,First,11.68,2498,112.0,8.0,7.46,Mahindra,Xylo
2696,Delhi,2012,87510,Diesel,Manual,First,21.8,1461,78.0,5.0,3.49,Renault,Fluence
2697,Coimbatore,2012,38214,Petrol,Manual,Second,18.5,1197,80.0,5.0,4.05,Hyundai,i20
2698,Kochi,2013,48986,Diesel,Manual,First,10.5,2835,107.2,6.0,11.88,Mitsubishi,Pajero
2699,Pune,2011,88000,Petrol,Automatic,First,14.53,1794,138.1,5.0,6.45,Toyota,Corolla
2700,Pune,2015,69002,Diesel,Automatic,First,15.97,2993,258.0,5.0,50.0,BMW,X5
2701,Pune,2011,43706,Petrol,Automatic,First,10.9,2497,215.0,5.0,9.0,BMW,3
2702,Coimbatore,2016,58671,Diesel,Automatic,First,17.01,1582,126.2,5.0,14.25,Hyundai,Creta
2703,Coimbatore,2017,49404,Diesel,Manual,First,18.49,1493,100.0,7.0,7.36,Mahindra,TUV
2704,Delhi,2010,72000,Diesel,Manual,First,12.05,2179,120.0,8.0,4.4,Mahindra,Scorpio
2705,Mumbai,2016,24000,Petrol,Manual,First,25.17,799,53.3,5.0,3.1,Renault,KWID
2706,Coimbatore,2017,53285,Petrol,Automatic,First,22.5,999,67.0,5.0,4.28,Renault,KWID
2707,Pune,2017,12000,Petrol,Manual,First,16.1,1197,85.0,5.0,5.5,Maruti,Swift
2708,Kolkata,2012,45000,Diesel,Automatic,First,17.0,1896,105.0,5.0,6.99,Skoda,Laura
2709,Coimbatore,2018,26234,Petrol,Manual,First,24.7,796,47.3,5.0,4.29,Maruti,Alto
2710,Delhi,2014,55000,Petrol,Manual,First,18.6,1197,85.8,5.0,4.2,Maruti,Swift
2711,Pune,2012,90000,Diesel,Manual,First,23.0,1396,90.0,5.0,4.11,Hyundai,i20
2712,Mumbai,2015,48000,Diesel,Automatic,First,15.73,1968,174.33,5.0,18.75,Audi,Q3
2713,Mumbai,2017,19863,Diesel,Automatic,First,11.57,2987,254.79,5.0,64.95,Mercedes-Benz,GLE
2714,Mumbai,2010,55000,Petrol,Manual,Second,19.81,1086,68.05,5.0,1.59,Hyundai,i10
2715,Kolkata,2016,4800,Petrol,Manual,First,20.51,998,67.04,5.0,3.6,Maruti,Wagon
2716,Kochi,2017,38607,Petrol,Manual,Second,17.8,1497,117.3,5.0,7.87,Honda,City
2717,Mumbai,2018,3958,Petrol,Manual,First,18.9,1197,81.86,5.0,5.55,Hyundai,Grand
2718,Jaipur,2014,74000,Diesel,Manual,Second,25.1,1498,98.6,5.0,6.4,Honda,City
2719,Mumbai,2009,54540,Petrol,Manual,Third,17.5,1298,85.8,5.0,2.65,Maruti,Swift
2720,Delhi,2015,58400,Petrol,Manual,First,17.5,1298,85.8,5.0,5.5,Maruti,Swift
2721,Kochi,2013,73648,Diesel,Manual,First,15.1,2179,140.0,7.0,7.31,Mahindra,XUV500
2722,Jaipur,2016,83000,Diesel,Manual,First,28.09,1248,88.5,5.0,7.1,Maruti,Ciaz
2723,Kochi,2016,16159,Diesel,Manual,First,22.32,1582,126.32,5.0,7.83,Hyundai,Verna
2724,Mumbai,2005,150000,Diesel,Manual,First,13.1,1493,82.0,5.0,0.85,Hyundai,Accent
2725,Mumbai,2014,22100,Petrol,Manual,First,19.4,1198,86.8,5.0,3.55,Honda,Brio
2726,Coimbatore,2017,35043,Petrol,Manual,First,17.19,1197,81.86,5.0,8.19,Hyundai,i20
2727,Pune,2018,24000,Diesel,Automatic,First,18.88,1995,184.0,5.0,28.0,BMW,3
2728,Chennai,2015,480000,Diesel,Automatic,First,16.96,1968,138.03,5.0,13.0,Volkswagen,Jetta
2729,Chennai,2011,70000,Petrol,Manual,Second,15.26,1598,103.5,5.0,3.29,Volkswagen,Polo
2730,Pune,2015,13769,Petrol,Manual,Second,16.1,1197,85.0,5.0,4.41,Maruti,Swift
2731,Kolkata,2013,58000,Diesel,Manual,First,19.01,1461,108.45,5.0,4.99,Renault,Duster
2732,Hyderabad,2009,58000,Diesel,Automatic,First,18.56,1995,190.0,5.0,17.98,BMW,X3
2733,Coimbatore,2018,18705,Diesel,Manual,First,20.5,1248,91.72,5.0,7.71,Fiat,Avventura
2734,Delhi,2013,32378,Petrol,Manual,First,20.51,998,67.04,5.0,2.8,Maruti,Wagon
2735,Kolkata,2013,45000,Diesel,Manual,First,22.1,1248,76.9,5.0,3.0,Chevrolet,Sail
2736,Coimbatore,2015,36836,Diesel,Manual,First,15.1,2179,140.0,7.0,12.49,Mahindra,XUV500
2737,Kochi,2016,54199,Diesel,Manual,First,23.0,1248,88.8,5.0,5.0,Tata,Zest
2738,Kochi,2017,36935,Diesel,Automatic,First,18.56,1995,190.0,5.0,32.64,BMW,X3
2739,Chennai,2015,23000,Diesel,Manual,First,25.2,1248,74.0,5.0,6.5,Maruti,Swift
2740,Bangalore,2015,14000,Diesel,Automatic,First,18.12,1995,190.0,5.0,35.0,BMW,5
2741,Chennai,2015,100073,Diesel,Manual,Second,25.0,1396,69.01,5.0,2.0,Tata,Indigo
2742,Kochi,2015,59182,Diesel,Manual,First,15.1,2179,140.0,7.0,9.46,Mahindra,XUV500
2743,Kochi,2016,72132,Diesel,Automatic,Second,12.07,2967,241.4,7.0,39.0,Audi,Q7
2744,Hyderabad,2009,79000,Diesel,Automatic,First,18.48,1995,177.0,5.0,15.0,BMW,5
2745,Coimbatore,2013,66930,Petrol,Manual,First,17.1,1591,121.3,5.0,6.15,Hyundai,Verna
2746,Pune,2015,100000,Diesel,Automatic,Second,13.01,2199,194.3,7.0,14.5,Hyundai,Santa
2747,Kochi,2018,27413,Petrol,Automatic,First,20.51,998,67.0,5.0,5.18,Maruti,Wagon
2748,Pune,2007,90000,Petrol,Manual,Second,17.3,1061,64.0,5.0,1.24,Maruti,Wagon
2749,Kolkata,2013,40300,Petrol,Manual,First,18.5,1197,82.85,5.0,2.8,Hyundai,i20
2750,Kochi,2011,73783,Petrol,Automatic,Second,13.7,1798,157.75,5.0,5.23,Skoda,Superb
2751,Pune,2005,86000,Petrol,Manual,Second,15.3,1341,83.0,5.0,0.45,Hyundai,Getz
2752,Delhi,2014,65694,Petrol,Manual,First,18.9,998,67.1,5.0,3.25,Maruti,Wagon
2753,Kolkata,2015,23000,Petrol,Manual,First,16.8,796,34.2,5.0,1.5,Maruti,Omni
2754,Mumbai,2012,51000,Petrol,Manual,First,20.36,1197,78.9,5.0,2.85,Hyundai,i10
2755,Kochi,2018,18335,Petrol,Manual,First,21.7,999,67.0,5.0,4.5,Renault,KWID
2756,Bangalore,2014,36000,Diesel,Automatic,First,15.0,2147,107.3,5.0,16.25,Mercedes-Benz,B
2757,Mumbai,2017,25000,Petrol,Automatic,First,17.21,1197,103.5,5.0,7.75,Volkswagen,Polo
2758,Bangalore,2007,81000,Diesel,Manual,Third,12.05,2179,120.0,8.0,4.35,Mahindra,Scorpio
2759,Kochi,2019,21719,Diesel,Automatic,First,12.9,2755,174.5,7.0,33.13,Toyota,Fortuner
2760,Coimbatore,2013,75421,Diesel,Manual,First,25.44,936,56.3,5.0,3.63,Chevrolet,Beat
2761,Delhi,2010,80000,Diesel,Manual,First,12.8,2494,102.0,8.0,4.75,Toyota,Innova
2762,Kochi,2018,10671,Petrol,Manual,First,20.85,1197,83.14,5.0,6.51,Maruti,Swift
2763,Hyderabad,2018,4126,Petrol,Manual,First,21.7,999,67.0,5.0,4.8,Renault,KWID
2764,Hyderabad,2017,98500,Diesel,Manual,First,22.95,1248,74.0,5.0,6.0,Tata,Bolt
2765,Coimbatore,2016,61578,Petrol,Manual,First,18.9,1197,82.0,5.0,6.4,Hyundai,Grand
2766,Ahmedabad,2014,54000,Diesel,Manual,First,20.34,1498,103.2,5.0,4.9,Volkswagen,Vento
2767,Coimbatore,2013,70998,Diesel,Automatic,First,17.68,1968,174.33,5.0,20.57,Audi,A6
2768,Kolkata,2015,40082,Diesel,Manual,First,19.3,1248,73.9,5.0,4.76,Maruti,Swift
2769,Kochi,2012,50619,Petrol,Manual,First,18.0,995,62.0,5.0,2.0,Chevrolet,Spark
2770,Coimbatore,2009,103905,Diesel,Automatic,First,22.69,1995,190.0,5.0,9.92,BMW,3
2771,Kochi,2018,15334,Petrol,Manual,First,21.1,814,55.2,5.0,3.69,Hyundai,EON
2772,Hyderabad,2013,69000,Diesel,Manual,First,23.4,1248,74.0,5.0,5.75,Maruti,Swift
2773,Hyderabad,2014,75160,Diesel,Manual,First,20.14,1498,88.5,5.0,5.7,Volkswagen,CrossPolo
2774,Coimbatore,2014,44753,Petrol,Manual,First,18.0,1198,86.7,5.0,4.94,Honda,Amaze
2775,Kochi,2012,53024,Petrol,Automatic,First,14.4,1598,103.6,5.0,4.29,Volkswagen,Vento
2776,Kolkata,2014,23840,Petrol,Manual,First,20.51,998,67.04,5.0,3.0,Maruti,Wagon
2777,Hyderabad,2014,81298,Diesel,Manual,First,20.14,1498,88.8,5.0,6.5,Volkswagen,Polo
2778,Jaipur,2015,59000,Petrol,Manual,Second,16.47,1198,73.9,5.0,4.9,Volkswagen,Polo
2779,Kochi,2016,51806,Diesel,Manual,First,25.8,1498,98.6,5.0,5.4,Honda,Amaze
2780,Delhi,2014,56000,Diesel,Automatic,First,18.53,1968,187.74,5.0,24.0,Audi,A6
2781,Kochi,2019,29279,Diesel,Manual,First,24.7,1047,69.0,5.0,7.46,Tata,Tigor
2782,Kochi,2017,33550,Diesel,Automatic,First,21.5,1498,108.5,5.0,9.6,Volkswagen,Vento
2783,Hyderabad,2014,62000,Diesel,Automatic,First,18.53,1968,187.74,5.0,25.0,Audi,A6
2784,Hyderabad,2014,66000,Diesel,Manual,First,19.01,1461,108.5,5.0,6.8,Nissan,Terrano
2785,Coimbatore,2016,46630,Diesel,Automatic,First,21.66,1498,103.52,5.0,8.59,Skoda,Rapid
2786,Hyderabad,2016,72566,Diesel,Manual,First,25.83,1498,99.0,5.0,5.29,Ford,Figo
2787,Pune,2011,51482,Diesel,Manual,First,15.42,1405,70.0,8.0,2.5,Tata,Venture
2788,Chennai,2011,90000,Diesel,Automatic,First,14.84,2143,167.62,5.0,13.9,Mercedes-Benz,New
2789,Jaipur,2014,69000,Diesel,Manual,Second,13.0,2982,168.5,7.0,20.0,Toyota,Fortuner
2790,Delhi,2011,90000,Petrol,Manual,Second,17.0,1497,118.0,5.0,3.4,Honda,City
2791,Mumbai,2015,39000,Petrol,Manual,First,18.6,1197,81.83,5.0,5.5,Hyundai,i20
2792,Hyderabad,2012,110000,Diesel,Manual,Second,20.54,1598,103.6,5.0,3.65,Volkswagen,Vento
2793,Kochi,2011,68022,Diesel,Manual,First,13.1,2499,141.0,7.0,5.86,Ford,Endeavour
2794,Coimbatore,2018,27852,Petrol,Automatic,First,14.8,1497,121.36,5.0,10.44,Ford,EcoSport
2795,Coimbatore,2011,68439,Diesel,Manual,First,23.0,1396,90.0,5.0,3.37,Hyundai,i20
2796,Delhi,2011,150000,Diesel,Manual,First,12.99,2494,100.6,8.0,6.95,Toyota,Innova
2797,Mumbai,2018,14000,Diesel,Manual,First,21.5,1497,108.5,5.0,9.9,Tata,Nexon
2798,Hyderabad,2012,71558,Diesel,Manual,First,20.0,1399,68.05,5.0,3.3,Ford,Figo
2799,Delhi,2013,48000,Diesel,Automatic,Second,17.85,2967,300.0,4.0,50.5,Porsche,Panamera
2800,Jaipur,2015,65800,Diesel,Automatic,First,17.01,1582,126.2,5.0,12.5,Hyundai,Creta
2801,Hyderabad,2014,53000,Diesel,Automatic,First,16.55,1968,140.0,5.0,20.5,Audi,A4
2802,Kolkata,2017,14600,Diesel,Manual,First,16.0,2179,140.0,7.0,14.5,Mahindra,XUV500
2803,Jaipur,2017,34429,Diesel,Automatic,First,13.8,2999,174.57,7.0,20.0,Isuzu,MUX
2804,Delhi,2014,52000,Diesel,Manual,First,23.4,1248,74.0,5.0,5.25,Maruti,Swift
2805,Kolkata,2015,25470,Petrol,Manual,First,20.73,1373,91.1,5.0,5.9,Maruti,Ciaz
2806,Pune,2013,22000,Petrol,Manual,First,21.1,814,55.2,5.0,2.6,Hyundai,EON
2807,Chennai,2007,75000,Diesel,Automatic,First,11.0,2987,198.5,5.0,11.0,Mercedes-Benz,E-Class
2808,Pune,2011,95995,Diesel,Automatic,First,18.48,1995,177.0,5.0,15.5,BMW,5
2809,Jaipur,2017,26877,Diesel,Manual,First,24.0,1186,73.97,5.0,5.75,Hyundai,Grand
2810,Hyderabad,2015,26000,Diesel,Automatic,First,14.47,2993,301.73,5.0,75.0,Jaguar,XJ
2811,Chennai,2007,140000,Diesel,Manual,Second,17.8,1248,75.0,5.0,2.0,Maruti,Swift
2812,Hyderabad,2008,95291,Petrol,Manual,First,17.92,1086,62.1,5.0,2.3,Hyundai,Santro
2813,Hyderabad,2009,135000,Diesel,Manual,Second,12.8,2494,102.0,8.0,8.2,Toyota,Innova
2814,Kolkata,2015,32000,Petrol,Manual,First,18.6,1197,81.83,5.0,4.8,Hyundai,i20
2815,Mumbai,2008,68333,Diesel,Automatic,Second,11.0,2987,198.5,5.0,8.5,Mercedes-Benz,E-Class
2816,Chennai,2011,72000,Diesel,Manual,First,20.0,1399,68.0,5.0,2.9,Ford,Figo
2817,Ahmedabad,2012,52100,Diesel,Manual,First,21.43,1364,86.79,5.0,6.5,Toyota,Corolla
2818,Jaipur,2018,10000,Petrol,Manual,First,18.9,1197,81.86,5.0,5.85,Hyundai,Grand
2819,Coimbatore,2019,6261,Diesel,Manual,First,16.3,1956,170.0,5.0,23.91,Jeep,Compass
2820,Coimbatore,2019,3906,Petrol,Automatic,First,20.89,1197,81.8,5.0,7.36,Maruti,Ignis
2821,Pune,2014,55960,Diesel,Manual,First,11.5,2982,171.0,7.0,17.25,Toyota,Fortuner
2822,Jaipur,2013,144000,Diesel,Manual,First,20.54,1598,103.6,5.0,7.0,Volkswagen,Vento
2823,Mumbai,2017,38000,Diesel,Manual,First,13.68,2393,147.8,7.0,17.65,Toyota,Innova
2824,Jaipur,2013,51000,Diesel,Manual,First,20.0,1399,68.1,5.0,2.5,Ford,Figo
2825,Hyderabad,2015,150000,Diesel,Manual,First,23.59,1364,67.05,5.0,6.0,Toyota,Platinum
2826,Mumbai,2018,2500,Diesel,Manual,First,18.06,2523,63.0,7.0,8.25,Mahindra,Thar
2827,Kochi,2018,41661,Diesel,Automatic,First,12.7,2179,187.7,5.0,44.83,Land,Rover
2828,Delhi,2011,64000,Diesel,Automatic,First,16.07,1995,181.0,5.0,10.5,BMW,3
2829,Bangalore,2008,80000,Petrol,Manual,Second,13.2,1495,94.0,5.0,1.9,Hyundai,Accent
2830,Jaipur,2016,30000,Petrol,Automatic,Second,23.1,998,67.04,5.0,4.25,Maruti,Celerio
2831,Chennai,2014,43000,Diesel,Automatic,Second,16.36,2179,187.7,5.0,26.5,Jaguar,XF
2832,Bangalore,2013,90000,Diesel,Automatic,Second,12.4,2698,179.5,5.0,22.5,Audi,A6
2833,Hyderabad,2011,123880,Diesel,Manual,First,23.08,1461,63.1,5.0,3.3,Nissan,Micra
2834,Jaipur,2015,42000,Petrol,Manual,Second,18.0,1198,86.7,5.0,4.3,Honda,Amaze
2835,Chennai,2012,79824,Diesel,Manual,First,19.87,1461,83.8,5.0,5.25,Renault,Duster
2836,Jaipur,2015,75000,Diesel,Manual,First,12.99,2494,100.6,8.0,11.75,Toyota,Innova
2837,Ahmedabad,2014,72411,Petrol,Manual,First,18.0,1198,86.7,5.0,4.25,Honda,Amaze
2838,Delhi,2012,63000,Diesel,Automatic,First,14.94,2143,204.0,5.0,14.22,Mercedes-Benz,New
2839,Chennai,2015,53713,Petrol,Manual,First,17.71,1197,78.9,5.0,4.2,Toyota,Etios
2840,Delhi,2017,18000,Diesel,Automatic,First,11.36,2755,171.5,8.0,18.25,Toyota,Innova
2841,Bangalore,2013,51000,Diesel,Manual,First,15.8,2148,170.0,5.0,18.5,Mercedes-Benz,New
2842,Chennai,2008,86700,Petrol,Manual,Second,16.1,1298,88.2,5.0,2.4,Maruti,Swift
2843,Hyderabad,2014,56000,LPG,Manual,First,18.1575,1086,62.1,5.0,3.2,Hyundai,Santro
2844,Mumbai,2015,33000,Petrol,Automatic,First,23.1,998,67.04,5.0,3.99,Maruti,Celerio
2845,Kochi,2014,64394,Diesel,Manual,First,22.7,1498,89.84,5.0,5.45,Ford,Ecosport
2846,Hyderabad,2010,76000,Diesel,Manual,First,18.8,1248,90.0,5.0,2.7,Tata,Manza
2847,Mumbai,2016,48719,Diesel,Manual,First,27.3,1498,98.6,5.0,6.25,Honda,Jazz
2848,Coimbatore,2016,59711,Diesel,Manual,First,15.1,2179,140.0,7.0,13.28,Mahindra,XUV500
2849,Hyderabad,2012,83000,Diesel,Manual,First,23.08,1461,63.1,5.0,3.7,Nissan,Micra
2850,Coimbatore,2018,10714,Diesel,Automatic,First,19.27,2143,167.62,5.0,39.51,Mercedes-Benz,New
2851,Hyderabad,2010,127510,Diesel,Manual,Second,19.0,1248,90.0,5.0,1.4,Tata,Manza
2852,Kolkata,2014,35010,Diesel,Manual,First,22.9,1248,74.0,5.0,3.5,Maruti,Swift
2853,Jaipur,2012,75451,Petrol,Manual,First,17.5,1197,85.8,5.0,3.78,Maruti,Swift
2854,Pune,2015,83000,Diesel,Manual,First,19.09,1405,69.01,5.0,2.7,Tata,Indigo
2855,Kolkata,2013,38755,Diesel,Manual,First,25.8,1498,98.6,5.0,3.2,Honda,Amaze
2856,Delhi,2016,30000,Petrol,Manual,First,20.4,1197,81.8,5.0,5.0,Maruti,Swift
2857,Chennai,2012,40000,Diesel,Manual,First,20.77,1248,88.8,7.0,7.0,Maruti,Ertiga
2858,Kolkata,2014,19500,Petrol,Manual,Second,18.9,1197,82.0,5.0,2.85,Hyundai,Grand
2859,Ahmedabad,2016,41000,Petrol,Manual,First,19.69,1198,67.04,5.0,4.25,Nissan,Micra
2860,Bangalore,2014,30000,Petrol,Manual,Second,18.9,1197,82.0,5.0,4.9,Hyundai,Grand
2861,Hyderabad,2017,37000,Diesel,Manual,First,17.1,1956,170.0,5.0,16.9,Jeep,Compass
2862,Delhi,2014,62000,Diesel,Manual,Second,22.07,1199,73.9,5.0,4.25,Volkswagen,Polo
2863,Pune,2015,42023,Petrol,Automatic,First,15.5,1198,86.7,5.0,4.34,Honda,Amaze
2864,Kolkata,2012,51001,Diesel,Automatic,First,16.09,1995,184.0,5.0,17.0,BMW,X3
2865,Kochi,2017,55389,Diesel,Automatic,First,18.88,1995,184.0,5.0,28.45,BMW,3
2866,Kochi,2014,46728,Petrol,Automatic,First,15.6,1497,116.3,5.0,6.15,Honda,City
2867,Kochi,2014,58995,Diesel,Manual,First,12.83,2696,162.0,7.0,9.25,Mahindra,Ssangyong
2868,Delhi,2015,37857,Diesel,Manual,First,26.59,1248,74.0,5.0,4.85,Maruti,Swift
2869,Jaipur,2014,71000,Diesel,Manual,First,25.2,1248,74.0,5.0,4.8,Maruti,Swift
2870,Pune,2012,49024,Petrol,Manual,First,18.4,1198,86.8,5.0,2.3,Honda,Brio
2871,Mumbai,2016,10770,Petrol,Manual,First,18.9,1197,82.0,5.0,4.75,Hyundai,Grand
2872,Pune,2017,72000,Diesel,Manual,First,22.95,1248,74.0,5.0,5.0,Tata,Zest
2873,Jaipur,2015,91000,Petrol,Manual,First,21.1,814,55.2,5.0,2.5,Hyundai,EON
2874,Mumbai,2017,14000,Petrol,Manual,First,18.6,1197,81.83,5.0,5.95,Hyundai,i20
2875,Delhi,2014,48000,Diesel,Automatic,Second,9.0,1984,181.0,5.0,16.0,Volvo,S60
2876,Delhi,2014,75136,Diesel,Manual,First,22.7,1498,89.84,5.0,6.15,Ford,Ecosport
2877,Hyderabad,2014,32500,Petrol,Manual,Second,21.1,1197,85.8,5.0,4.05,Maruti,Ritz
2878,Hyderabad,2010,94500,Diesel,Manual,Second,21.9,1396,90.0,5.0,3.1,Hyundai,i20
2879,Hyderabad,2013,34900,Petrol,Manual,First,22.0,1197,81.8,5.0,5.49,Maruti,Dzire
2880,Coimbatore,2010,42400,Petrol,Automatic,Third,8.0,4806,394.3,4.0,42.91,Porsche,Panamera
2881,Jaipur,2015,50000,Diesel,Manual,First,17.8,1248,75.0,5.0,5.7,Maruti,Swift
2882,Kolkata,2014,35000,Petrol,Manual,First,19.4,1198,86.8,5.0,2.85,Honda,Brio
2883,Bangalore,2012,37000,Petrol,Manual,Second,18.6,1199,79.4,5.0,2.35,Chevrolet,Beat
2884,Coimbatore,2018,32807,Petrol,Automatic,First,13.0,1591,121.3,5.0,14.76,Hyundai,Creta
2885,Pune,2008,119000,Petrol,Manual,Second,17.7,1497,78.0,5.0,2.25,Honda,City
2886,Mumbai,2016,12000,Petrol,Manual,First,18.5,1197,85.8,5.0,3.65,Maruti,Ritz
2887,Delhi,2016,46727,Diesel,Manual,First,22.77,1498,98.59,5.0,7.25,Ford,EcoSport
2888,Hyderabad,2010,73336,Diesel,Automatic,First,13.2,1995,170.0,5.0,10.69,BMW,3
2889,Mumbai,2014,9000,Petrol,Manual,Second,17.01,1591,121.3,5.0,5.5,Hyundai,Verna
2890,Chennai,2005,240000,Diesel,Manual,Fourth & Above,12.8,2494,102.0,8.0,5.1,Toyota,Innova
2891,Mumbai,2014,25422,Petrol,Manual,First,22.5,998,67.04,5.0,3.25,Maruti,Wagon
2892,Mumbai,2018,14000,Diesel,Manual,First,25.47,1248,88.5,7.0,9.25,Maruti,Ertiga
2893,Hyderabad,2008,66000,Petrol,Manual,First,19.7,796,46.3,5.0,1.7,Maruti,Alto
2894,Kochi,2010,55324,Petrol,Manual,First,19.0,998,66.1,5.0,2.87,Maruti,A-Star
2895,Bangalore,2009,90000,Diesel,Automatic,First,11.0,2993,235.0,5.0,17.75,BMW,X5
2896,Kolkata,2017,43000,Petrol,Manual,First,18.15,1198,82.0,5.0,4.5,Mahindra,KUV
2897,Bangalore,2008,58483,Petrol,Automatic,Second,19.2,1197,80.0,5.0,2.95,Hyundai,i10
2898,Pune,2007,93000,Petrol,Automatic,Second,12.9,1799,130.0,5.0,2.6,Honda,Civic
2899,Hyderabad,2010,50000,Petrol,Manual,First,20.36,1197,78.9,5.0,3.0,Hyundai,i10
2900,Ahmedabad,2014,78616,Diesel,Automatic,Second,14.84,2143,170.0,5.0,15.5,Mercedes-Benz,New
2901,Pune,2011,37000,Petrol,Manual,First,17.6,1496,88.73,5.0,2.8,Toyota,Etios
2902,Kolkata,2010,54801,Petrol,Manual,First,17.0,1497,118.0,5.0,2.5,Honda,City
2903,Bangalore,2014,29000,Diesel,Manual,First,23.4,1248,74.0,5.0,5.75,Maruti,Swift
2904,Pune,2010,68000,Petrol,Manual,First,22.0,1197,81.8,5.0,2.8,Maruti,Swift
2905,Kolkata,2014,58000,Petrol,Manual,First,17.01,1591,121.3,5.0,4.59,Hyundai,Verna
2906,Pune,2012,64290,Diesel,Manual,First,23.2,1248,73.94,5.0,3.65,Maruti,Ritz
2907,Mumbai,2015,31000,Diesel,Manual,First,13.0,2982,168.5,7.0,19.85,Toyota,Fortuner
2908,Pune,2018,16039,Diesel,Manual,First,17.1,1956,170.0,5.0,18.5,Jeep,Compass
2909,Hyderabad,2017,19860,Petrol,Manual,First,18.6,1197,81.83,5.0,6.95,Hyundai,i20
2910,Delhi,2014,48500,CNG,Manual,Second,35.910000000000004,998,58.16,5.0,2.85,Maruti,Wagon
2911,Jaipur,2012,75391,Diesel,Manual,First,13.93,2179,138.0,7.0,3.75,Tata,New
2912,Jaipur,2008,78000,Diesel,Manual,Second,19.3,1248,73.9,5.0,2.3,Maruti,Swift
2913,Kolkata,2016,78000,Diesel,Manual,First,25.0,1396,69.01,5.0,2.3,Tata,Indigo
2914,Hyderabad,2016,52000,Diesel,Manual,First,28.4,1248,74.0,5.0,5.95,Maruti,Swift
2915,Kolkata,2016,30000,Petrol,Automatic,First,23.1,998,67.04,5.0,3.49,Maruti,Celerio
2916,Coimbatore,2016,19254,Diesel,Automatic,First,14.69,2993,258.0,5.0,47.7,BMW,5
2917,Coimbatore,2015,29651,Petrol,Manual,First,16.47,1198,74.0,5.0,6.43,Volkswagen,Polo
2918,Bangalore,2011,80000,Diesel,Manual,First,13.93,2179,138.03,7.0,4.5,Tata,Safari
2919,Kolkata,2018,2971,Petrol,Automatic,First,13.6,1598,181.0,4.0,39.75,Mini,Cooper
2920,Kolkata,2015,21400,Petrol,Manual,First,15.6,1196,70.0,5.0,4.0,Ford,Figo
2921,Ahmedabad,2015,77000,Diesel,Manual,First,26.0,1498,98.6,5.0,6.98,Honda,City
2922,Delhi,2006,80000,Diesel,Manual,Second,12.6,1991,112.0,7.0,1.75,Hyundai,Tucson
2923,Delhi,2013,81755,Diesel,Manual,First,20.0,1968,108.5,5.0,4.75,Skoda,Laura
2924,Hyderabad,2016,99593,Diesel,Manual,First,11.5,2982,171.0,7.0,23.5,Toyota,Fortuner
2925,Hyderabad,2014,39791,Diesel,Manual,First,22.32,1582,126.32,5.0,7.49,Hyundai,Verna
2926,Hyderabad,2015,113000,Diesel,Manual,First,15.1,2179,140.0,7.0,10.85,Mahindra,XUV500
2927,Mumbai,2017,24000,Petrol,Manual,First,25.17,799,53.3,5.0,3.5,Renault,KWID
2928,Bangalore,2015,39000,Petrol,Manual,Second,18.6,1197,81.83,5.0,6.3,Hyundai,i20
2929,Bangalore,2012,37000,Petrol,Automatic,First,15.6,1497,116.3,5.0,6.75,Honda,City
2930,Coimbatore,2017,61108,Diesel,Automatic,First,10.91,3198,197.0,7.0,28.88,Ford,Endeavour
2931,Kochi,2016,61648,Petrol,Automatic,First,13.7,1798,157.75,5.0,14.23,Skoda,Superb
2932,Mumbai,2012,37000,Diesel,Automatic,Third,22.69,1995,190.0,5.0,15.0,BMW,3
2933,Mumbai,2013,53000,CNG,Manual,First,30.780000000000005,1373,80.9,7.0,5.8,Maruti,Ertiga
2934,Jaipur,2013,65000,Diesel,Manual,First,23.2,1248,73.94,5.0,3.75,Maruti,Ritz
2935,Jaipur,2011,148009,Diesel,Manual,Second,11.5,2982,171.0,7.0,12.75,Toyota,Fortuner
2936,Mumbai,2009,53001,Petrol,Manual,First,16.1,1298,88.2,5.0,1.95,Maruti,Swift
2937,Mumbai,2018,22345,Petrol,Manual,First,20.3,1199,84.0,5.0,4.95,Tata,Tigor
